territory,territory_iso3,mrgid,region,region_specific,shp_to_use,fao_country_profile,country_profile,fao_memberships,fisheries_subsidies,treaties_conventions,internal_fishing_access_agreements
Angola,AGO,8478,Africa,South African group,180,http://www.fao.org/countryprofiles/index.asp?lang=en&iso3=AGO&subj=6,http://www.seaaroundus.org/data/#/country/24,,http://www.seaaroundus.org/data/#/subsidy/6,http://www.fishbase.org/Country/CountryTreatyList.php?Country=24,http://www.seaaroundus.org/data/#/eez/24/internal-fishing-access/
Antigua and Barbuda,ATG,8414,Caribbean,Caribbean group,360,http://www.fao.org/countryprofiles/index.asp?lang=en&iso3=ATG&subj=6,http://www.seaaroundus.org/data/#/country/28,,http://www.seaaroundus.org/data/#/subsidy/8,http://www.fishbase.org/Country/CountryTreatyList.php?Country=28,http://www.seaaroundus.org/data/#/eez/28/internal-fishing-access/
Bahamas,BHS,8404,Caribbean,Caribbean group,360,http://www.fao.org/countryprofiles/index.asp?lang=en&iso3=BHS&subj=6,http://www.seaaroundus.org/data/#/country/44,,http://www.seaaroundus.org/data/#/subsidy/14,http://www.fishbase.org/Country/CountryTreatyList.php?Country=44,
Barbados,BRB,8418,Caribbean,Caribbean group,360,http://www.fao.org/countryprofiles/index.asp?lang=en&iso3=BRB&subj=6,http://www.seaaroundus.org/data/#/country/52,,http://www.seaaroundus.org/data/#/subsidy/18,http://www.fishbase.org/Country/CountryTreatyList.php?Country=52,http://www.seaaroundus.org/data/#/eez/52/internal-fishing-access/
Belize,BLZ,8457,Caribbean,Caribbean group,360,http://www.fao.org/countryprofiles/index.asp?lang=en&iso3=BLZ&subj=6,http://www.seaaroundus.org/data/#/country/84,,http://www.seaaroundus.org/data/#/subsidy/20,http://www.fishbase.org/Country/CountryTreatyList.php?Country=84,http://www.seaaroundus.org/data/#/eez/84/internal-fishing-access/
Benin,BEN,8393,Africa,West African group,180,http://www.fao.org/countryprofiles/index.asp?lang=en&iso3=BEN&subj=6,http://www.seaaroundus.org/data/#/country/204,,http://www.seaaroundus.org/data/#/subsidy/21,http://www.fishbase.org/Country/CountryTreatyList.php?Country=204,http://www.seaaroundus.org/data/#/eez/204/internal-fishing-access/
Botswana,BWA,,Africa,South African group,180,,,,,,
Burkina Faso,BFA,,Africa,West African group,180,,,,,,
Burundi,BDI,,Africa,East African group,180,,,,,,
Cabo Verde,CPV,8362,Africa,West African group,180,http://www.fao.org/countryprofiles/index.asp?lang=en&iso3=CMR&subj=6,http://www.seaaroundus.org/data/#/country/120,,http://www.seaaroundus.org/data/#/subsidy/30,http://www.fishbase.org/Country/CountryTreatyList.php?Country=120,http://www.seaaroundus.org/data/#/eez/120/internal-fishing-access/
