eez_code,eez_name,eez_territory_iso3,eez_sovereign_iso3,total_vessels,total_capacity,total_fishing_hours,total_fishing_KWh,vessel_rank,capacity_rank,fishing_hours_rank,fishing_KWh_rank,avg_rank
8316,Micronesian Exclusive Economic Zone,FSM,FSM,319,465259.0795521587,212823.96055555547,205775906.9508399,6,3,2,3,3.5
8343,Mauritian Exclusive Economic Zone,MUS,MUS,235,204080.15886609367,152347.32027777776,102732350.78218827,8,21,5,10,11
8389,Disputed area Falkland Islands Exclusive Economic Zone: UK / Argentina,FLK,GBR,227,381848.50776702043,114968.6887499995,201287880.04420802,9,6,8,5,7
8314,Solomon Islands Exclusive Economic Zone,SLB,SLB,223,281739.8231295113,342196.8981944456,206417000.1458106,11,12,1,2,6.5
8324,Papua New Guinean Exclusive Economic Zone,PNG,PNG,191,386870.33902002603,152824.87291666665,184558487.7419008,14,5,4,6,7.25
5690,Russian Exclusive economic Zone,RUS,RUS,176,273941.24619193043,79668.26875000147,184178447.7395211,18,13,17,7,13.75
48950,Disputed area Kuril Islands: Japan / Russia,JPN,JPN,144,295360.1819727701,65848.70583333331,152930647.7845063,23,11,19,9,15.5
5686,Norwegian Exclusive Economic Zone,NOR,NOR,126,272984.58793291607,85091.53916666658,203534038.71372312,28,14,15,4,15.25
8435,Faeroe Exclusive Economic Zone,FRO,DNK,98,399059.59091472067,35859.99861111111,178647124.79343718,34,4,28,8,18.5
33181,Svalvard Exclusive Economic Zone,SJM,NOR,80,203109.81819980923,95783.68694444498,234008979.47404504,39,22,11,1,18.25
