flag,total_vessels,total_capacity,total_fishing_hours,total_fishing_KWh,vessel_rank,capacity_rank,fishing_hours_rank,fishing_KWh_rank,avg_rank
CHN,3613,1764032.9248410545,1012758.4408490966,657761634.201142,1,1,1,2,1.25
TWN,1082,729064.5110482604,729432.4515277782,611764755.0658578,2,3,2,3,2.5
RUS,448,915866.7463503329,303790.0825000004,800219413.7391253,3,2,3,1,2.25
KOR,436,349353.7184578128,160327.64652777786,185438157.50280914,4,4,6,5,4.75
JPN,290,253948.47728641136,236874.4933333331,199716316.5240793,6,5,4,4,4.75
USA,266,242057.68344435116,67233.81152777781,158435071.92527184,7,6,8,6,6.75
ESP,232,191376.2426728764,220875.3248611116,137364173.78429097,8,9,5,7,7.25
ITA,226,87185.6624648442,93334.80472222224,54918087.28404624,9,13,7,11,10
FRA,154,115144.39636184442,53564.30958333333,46882897.03664002,10,11,9,13,10.75
NOR,106,238691.94114642864,35387.71138888885,91518518.41632621,12,7,14,8,10.25
